Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month
2021-01-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,624,625.75,611.25,618.75,41095,224716,202103
2021-01-11,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,618.5,628.75,612,618,38252,224358,202103
2021-01-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,620.25,650.5,618,646.5,60212,223793,202103
2021-01-13,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,646,663.5,641.75,649.75,50828,222678,202103
2021-01-14,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,649.75,664.75,645,660.5,43043,222163,202103
2021-01-15,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,661.75,684,659.5,667,55155,221567,202103
2021-01-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,673.75,681,662.75,668,45868,218613,202103
2021-01-20,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,669.5,671.75,657.25,661,42172,219486,202103
2021-01-21,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,661,670.5,656.25,659.75,33375,219277,202103
2021-01-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,657.75,658.25,635.75,637.25,45390,217538,202103
2021-01-25,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,637.25,654.25,629.5,651.25,43803,219163,202103
2021-01-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,650,669.5,644.5,665,49406,220736,202103
2021-01-27,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,664.5,672,654.75,660.75,38459,218938,202103
2021-01-28,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,659.75,669.25,648,650,52370,221914,202103
2021-01-29,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,652,663.75,647.25,662,44736,224473,202103
2021-02-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,662.5,668,640.75,649.25,71256,223853,202103
2021-02-02,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,651,653.75,640.75,643,35890,223457,202103
2021-02-03,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,643,652.25,628.5,649.5,66072,226426,202103
2021-02-04,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,649,654,638.5,642.75,60926,227957,202103
2021-02-05,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,640.75,653.75,636.75,649.25,115992,226881,202103
2021-02-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,651.75,666,650.25,663.5,119845,225053,202103
2021-02-09,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,666,668,649.5,657.5,111613,227114,202103
2021-02-10,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,658,659.25,634.75,638,96561,223795,202103
2021-02-11,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,638,649.5,633.25,635,95428,225973,202103
2021-02-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,636,648.25,636,640.75,62681,227847,202103
2021-02-16,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,652.75,663.5,649,661.5,46590,229412,202103
2021-02-17,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,663,664,643.75,648.5,61663,231951,202103
2021-02-18,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,647.5,663,647,660.75,72910,232980,202103
2021-02-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,661.25,669.5,651.75,655.75,60608,233799,202103
2021-02-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,656.75,669.25,656.5,668.5,45978,229838,202103
2021-02-23,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,669,669.5,659,665,50078,228710,202103
2021-02-24,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,666,681,663,680,54992,228898,202103
2021-02-25,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,678.25,680,661.25,668.25,50444,227020,202103
2021-02-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,665.5,666.25,648.25,649.5,47060,225641,202105
2021-03-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,651.75,655.5,637,639,59324,225376,202105
2021-03-02,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,639.75,654.75,635.25,651,38190,223072,202105
2021-03-03,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,650.25,651.25,638.5,641.75,48483,220387,202105
2021-03-04,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,640.75,648,636.25,636.75,36231,219373,202105
2021-03-05,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,636,645.5,632.75,642,34511,220465,202105
2021-03-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,649.25,650.75,628.75,637.5,45900,219228,202105
2021-03-09,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,638,643.75,632.75,642.25,36839,217450,202105
2021-03-10,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,641.75,641.75,626.5,632.25,34716,217338,202105
2021-03-11,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,631,633.75,616.75,620,55767,214903,202105
