Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month
2021-01-08,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,765,769.75,754.25,759,98573,421778,202103
2021-01-11,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,759.25,771.75,749,755,99203,417777,202103
2021-01-12,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,756.5,790.25,754.25,785.25,157577,424127,202103
2021-01-13,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,785.25,801,776.5,780.75,152144,426838,202103
2021-01-14,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,780.25,793.5,773.25,790.25,124724,433943,202103
2021-01-15,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,791.25,813.25,784.75,795.75,164782,434733,202103
2021-01-19,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,804,811.5,789,792.5,129333,440898,202103
2021-01-20,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,795.5,796.25,776.75,788,150251,444342,202103
2021-01-21,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,786.75,795,778,781,91392,446562,202103
2021-01-22,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,778.75,779.25,753.25,754.75,151548,443085,202103
2021-01-25,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,753.25,771.75,744.5,768.75,122875,445567,202103
2021-01-26,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,767,788,761.5,785.5,132931,452142,202103
2021-01-27,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,783.5,793,772.75,778.5,110213,451306,202103
2021-01-28,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,775.25,784.75,763.75,767.25,136087,450611,202103
2021-01-29,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,766.5,785,763.25,783.25,117363,452911,202103
2021-02-01,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,783.75,791.25,766.25,771.25,110002,452013,202103
2021-02-02,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,775.25,777,760.75,765,96588,447487,202103
2021-02-03,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,766.5,770,746,768.5,186346,450278,202103
2021-02-04,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,767.5,770.75,753.25,757.75,143357,450261,202103
2021-02-05,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,755,767.75,752.5,761.5,173607,445918,202103
2021-02-08,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,763.25,777.75,762.75,776,210270,439016,202103
2021-02-09,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,778,780.75,760,769.75,260124,438015,202103
2021-02-10,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,769.75,770.75,747,755.75,204612,435465,202103
2021-02-11,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,756.75,765,752.25,753.75,172280,442598,202103
2021-02-12,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,752.75,763.25,752.25,757,151539,431902,202103
2021-02-16,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,768.25,780.5,760.75,777.75,144048,439815,202103
2021-02-17,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,780.25,781.5,758.75,764.25,132788,439999,202103
2021-02-18,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,764.25,786,761.75,782.75,189986,444479,202103
2021-02-19,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,785.25,789.25,769.25,771,156562,436771,202103
2021-02-22,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,774,785.5,771.25,784.25,106866,434878,202103
2021-02-23,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,786.75,788,776.75,786,105829,430668,202103
2021-02-24,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,785.75,803.75,784.75,800.5,138623,430018,202103
2021-02-25,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,797.5,800.75,779,792,123710,421532,202103
2021-02-26,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,788.5,790.25,774.5,776.5,99741,416739,202105
2021-03-01,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,778.75,783,764,766.5,84364,415814,202105
2021-03-02,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,769,785,761.75,782.5,97872,418842,202105
2021-03-03,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,779.25,782.25,767,772.25,76850,417748,202105
2021-03-04,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,771,778.25,763.5,767.25,93853,416916,202105
2021-03-05,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,767.25,777,763,769.25,81027,415756,202105
2021-03-08,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,776,779,755.75,762.75,112847,415937,202105
2021-03-09,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,762.25,774,760,772.75,107727,411862,202105
2021-03-10,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,773,773,757.5,768.75,78294,414601,202105
2021-03-11,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,767.75,772.25,755.25,758.75,93546,417879,202105
2021-03-12,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,760,762,753.75,754.75,62138,418203,202105
2021-03-15,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,754,764,752.25,761.25,66225,417920,202105
2021-03-16,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,761.75,764.25,748,763.25,87066,419121,202105
2021-03-17,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,762.5,765.75,755.5,756.25,63576,419494,202105
2021-03-18,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,756.25,757.25,745.25,746.75,74800,421172,202105
2021-03-19,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,745.25,751.75,738,743.25,85542,423537,202105
2021-03-22,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,743.75,747,737.5,743.5,64203,420847,202105
2021-03-23,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,744.25,760.75,737.25,751,123575,420748,202105
2021-03-24,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,751.25,755,740.25,741,84397,424658,202105
2021-03-25,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,741,741.75,725.25,728.75,113393,424591,202105
2021-03-26,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,727.25,735.25,724.5,729.5,84279,417308,202105
2021-03-29,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,732,734,723.5,733,73189,419794,202105
2021-03-30,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,732.5,733,716.75,718,101666,422256,202105
2021-03-31,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,719.5,748,709.5,734.25,180956,422097,202105
2021-04-01,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,739.25,742,717.5,727.25,155538,425382,202105
2021-04-05,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,723.25,741.25,723.25,734.25,114875,417315,202105
2021-04-06,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,738.25,743.75,730,731.75,115979,412959,202105
2021-04-07,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,731.25,736,726,732.5,162567,421712,202105
2021-04-08,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,734.25,747.75,732.25,745,197834,430951,202105
2021-04-09,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,745,762.75,743.5,755,252882,426404,202105
2021-04-12,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,754.25,755.25,739.25,744.25,229817,431104,202105
2021-04-13,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,746.5,753.5,744.5,746,178279,436431,202105
2021-04-14,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,747,772,747,764.25,277067,434515,202105
2021-04-15,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,763.5,774,755.25,770,173303,434268,202105
2021-04-16,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,768.75,776,764.5,768.75,111366,439385,202105
2021-04-19,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,769.25,777,767.25,768.5,96176,437523,202105
2021-04-20,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,767.75,795.25,766.5,776,163999,441233,202105
2021-04-21,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,779,795,775,789.5,144204,441664,202105
2021-04-22,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,790,829.5,788.25,826.5,256836,444324,202105
2021-04-23,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,826,831,817.25,826.5,185420,439266,202105
2021-04-26,&ZW_CCB,Chicago SRW Wheat Continuous Contract Backadjusted,829,861.5,829,855.75,211313,429571,202105
